ID	AU	TI	SO	PY	VL	IS	Included?	Reason
178	Sidloyi, SS; Bomela, NJ	Survival strategies of elderly women in Ngangelizwe Township, Mthatha, South Africa: Livelihoods, social networks and income	ARCHIVES OF GERONTOLOGY AND GERIATRICS	2016	62		0	South African study
179	SmithBattle, L; Freed, P	Teen Mothers' Mental Health	MCN-THE AMERICAN JOURNAL OF MATERNAL-CHILD NURSING	2016	41	1		Inter-library loan
180	Javalkar, K; Johnson, M; Kshirsagar, AV; Ocegueda, S; Detwiler, RK; Ferris, M	Ecological Factors Predict Transition Readiness/Self-Management in Youth With Chronic Conditions	JOURNAL OF ADOLESCENT HEALTH	2016	58	1	0	US-based study
181	Roberts, DA; Ng, M; Ikilezi, G; Gasasira, A; Dwyer-Lindgren, L; Fullman, N; Nalugwa, T; Kamya, M; Gakidou, E	Benchmarking health system performance across regions in Uganda: a systematic analysis of levels and trends in key maternal and child health interventions, 1990-2011	BMC MEDICINE	2015	13		0	Ugandan study
182	Eisenman, D; McCaffrey, S; Donatello, I; Marshal, G	An Ecosystems and Vulnerable Populations Perspective on Solastalgia and Psychological Distress After a Wildfire	ECOHEALTH	2015	12	4	0	US-based study
183	Kim, Y	The dynamics of health and its determinants among the elderly in developing countries	ECONOMICS & HUMAN BIOLOGY	2015	19		0	Not UK-based study Duplicate of 109
184	Karasz, A; Raghavan, S; Patel, V; Zaman, M; Akhter, L; Kabita, M	ASHA: Using Participatory Methods to Develop an Asset-building Mental Health Intervention for Bangladeshi Immigrant Women	PROGRESS IN COMMUNITY HEALTH PARTNERSHIPS-RESEARCH EDUCATION AND ACTION	2015	9	4	0	Bangladeshi study
185	Zibrik, L; Khan, S; Bangar, N; Stacy, E; Lauscher, HN; Ho, K	Patient and community centered eHealth: Exploring eHealth barriers and facilitators for chronic disease self-management within British Columbia's immigrant Chinese and Punjabi seniors	HEALTH POLICY AND TECHNOLOGY	2015	4	4	0	Chinese and Punjabi study
186	Washington, T; Rose, T; Colombo, G; Hong, JS; Coard, SI	Family-Level Factors and African American Children's Behavioral Health Outcomes: A Systematic Review	CHILD & YOUTH CARE FORUM	2015	44	6	0	US-based study
187	Lyons, A; Hosking, W; Rozbroj, T	Rural-Urban Differences in Mental Health, Resilience, Stigma, and Social Support Among Young Australian Gay Men	JOURNAL OF RURAL HEALTH	2015	31	1	0	Australian study
188	Shiri, S; Gartsman, I; Meiner, Z; Schwartz, I	Long-standing poliomyelitis and psychological health	DISABILITY AND REHABILITATION	2015	37	24	0	Israeli study
189	van der Wel, KA; Bambra, C; Dragano, N; Eikemo, TA; Lunau, T	Risk and resilience: health inequalities, working conditions and sickness benefit arrangements: an analysis of the 2010 European Working Conditions survey	SOCIOLOGY OF HEALTH & ILLNESS	2015	37	8	0	Duplicate of 96
190	Chisolm, DJ; Sarkar, M; Kelleher, KJ; Sanders, LM	Predictors of Health Literacy and Numeracy Concordance Among Adolescents With Special Health Care Needs and Their Parents	JOURNAL OF HEALTH COMMUNICATION	2015	20		0	US-based study
191	Bariola, E; Lyons, A; Leonard, W; Pitts, M; Badcock, P; Couch, M	Demographic and Psychosocial Factors Associated With Psychological Distress and Resilience Among Transgender Individuals	AMERICAN JOURNAL OF PUBLIC HEALTH	2015	105	10	0	Australian study
192	Baig, AA; Benitez, A; Locklin, CA; Gao, Y; Lee, SM; Quinn, MT; Solomon, MC; Sanchez-Johnsen, L; Burnet, DL; Chin, MH	Picture Good Health: A Church-Based Self-Management Intervention Among Latino Adults with Diabetes	JOURNAL OF GENERAL INTERNAL MEDICINE	2015	30	10	0	US-based study
193	Georgiades, SD	Greek Immigrants in Australia: Implications for Culturally Sensitive Practice	JOURNAL OF IMMIGRANT AND MINORITY HEALTH	2015	17	5	0	Australian study
194	Eyles, J; Harris, B; Fried, J; Govender, V; Munyewende, P	Endurance, resistance and resilience in the South African health care system: case studies to demonstrate mechanisms of coping within a constrained system	BMC HEALTH SERVICES RESEARCH	2015	15		0	South African study
195	Mastrocola, EL; Taylor, AK; Chew-Graham, C	Access to healthcare for long-term conditions in women involved in street-based prostitution: a qualitative study	BMC FAMILY PRACTICE	2015	16		1	
196	Rios-Salas, V; Larson, A	Perceived discrimination, socioeconomic status, and mental health among Latino adolescents in US immigrant families	CHILDREN AND YOUTH SERVICES REVIEW	2015	56		0	US-based study
197	Cao, Y; Liu, ZK	Poverty and Health: Children of Rural-to-Urban Migrant Workers in Beijing, China	SOCIAL INDICATORS RESEARCH	2015	123	2	0	Chinese study
198	Koetsenruijter, J; van Lieshout, J; Lionis, C; Portillo, MC; Vassilev, I; Todorova, E; Foss, C; Gil, MS; Knutsen, IR; Angelaki, A; Mujika, A; Roukova, P; Kennedy, A; Rogers, A; Wensing, M	Social Support and Health in Diabetes Patients: An Observational Study in Six European Countries in an Era of Austerity	PLOS ONE	2015	10	8	1	
199	Schoen, C	Reducing income-related inequalities in care and health: insights from Israel	ISRAEL JOURNAL OF HEALTH POLICY RESEARCH	2015	4		0	Israeli study
200	Petkova, EP; Ebi, KL; Culp, D; Redlener, I	Climate Change and Health on the US Gulf Coast: Public Health Adaptation is Needed to Address Future Risks	INTERNATIONAL JOURNAL OF ENVIRONMENTAL RESEARCH AND PUBLIC HEALTH	2015	12	8	0	US-based study
201	Harding, S; Read, UM; Molaodi, OR; Cassidy, A; Maynard, MJ; Lenguerrand, E; Astell-Burt, T; Teyhan, A; Whitrow, M; Enayat, ZE	The Determinants of young Adult Social well-being and Health (DASH) study: diversity, psychosocial determinants and health	SOCIAL PSYCHIATRY AND PSYCHIATRIC EPIDEMIOLOGY	2015	50	8	1	
202	Lippert, AM; Lee, BA	Stress, Coping, and Mental Health Differences among Homeless People	SOCIOLOGICAL INQUIRY	2015	85	3	0	"US-based study
Full-text obtained"
203	Coulombe, S; Radziszewski, S; Trepanier, SG; Provencher, H; Roberge, P; Hudon, C; Meunier, S; Provencher, MD; Houle, J	Mental health self-management questionnaire: Development and psychometric properties	JOURNAL OF AFFECTIVE DISORDERS	2015	181		0	"Canadian study
Duplicate of 93"
204	Bambra, C; Cairns, JM; Kasim, A; Smith, J; Robertson, S; Copeland, A; Johnson, K	This divided land: An examination of regional inequalities in exposure to brownfield land and the association with morbidity and mortality in England	HEALTH & PLACE	2015	34		1	
205	Casale, M; Wild, L	A 'GOOD SPACE' CANNOT LAST FOREVER: PERCEIVED MECHANISMS EXPLAINING THE ROLE OF SOCIAL SUPPORT AS A HEALTH-PROMOTING RESOURCE FOR CAREGIVERS IN HIV-ENDEMIC SOUTH AFRICA	JOURNAL OF COMMUNITY PSYCHOLOGY	2015	43	5	0	South African study
206	Sull, A; Harland, N; Moore, A	Resilience of health-care workers in the UK; a cross-sectional survey	JOURNAL OF OCCUPATIONAL MEDICINE AND TOXICOLOGY	2015	10		1	
207	Daw, J	Explaining the Persistence of Health Disparities: Social Stratification and the Efficiency-Equity Trade-off in the Kidney Transplantation System	AMERICAN JOURNAL OF SOCIOLOGY	2015	120	6	0	"US-based study
Duplicate of 92"
208	Glonti, K; Gordeev, VS; Goryakin, Y; Reeves, A; Stuckler, D; McKee, M; Roberts, B	A Systematic Review on Health Resilience to Economic Crises	PLoS One	2015	10	4	1	
209	Bacikova-Sleskova, M; Benka, J; Orosova, O	Parental employment status and adolescents' health: The role of financial situation, parent-adolescent relationship and adolescents' resilience	PSYCHOLOGY & HEALTH	2015	30	4	0	Slovakian study
210	Palmer, SC; Hanson, CS; Craig, JC; Strippoli, GFM; Ruospo, M; Campbell, K; Johnson, DW; Tong, A	Dietary and Fluid Restrictions in CKD: A Thematic Synthesis of Patient Views From Qualitative Studies	AMERICAN JOURNAL OF KIDNEY DISEASES	2015	65	4	0	Population: only patients with chronic kidney disease (CKD)
211	Lokhmatkina, NV; Agnew-Davies, R; Costelloe, C; Kuznetsova, OY; Nikolskaya, IM; Feder, GS	Intimate partner violence and ways of coping with stress: cross-sectional survey of female patients in Russian general practice	FAMILY PRACTICE	2015	32	2	0	Russian study
212	Han, K; Lee, Y; Gu, J; Oh, H; Han, J; Kim, K	Psychosocial factors for influencing healthy aging in adults in Korea	HEALTH AND QUALITY OF LIFE OUTCOMES	2015	13		0	Korean paper
213	Hegberg, NJ; Tone, EB	Physical activity and stress resilience: Considering those at-risk for developing mental health problems	MENTAL HEALTH AND PHYSICAL ACTIVITY	2015	8		0	US-based study
214	Nothling, J; Ganasen, K; Seedat, S	Predictors of Depression Among a Sample of South African Mortuary Workers	JOURNAL OF NERVOUS AND MENTAL DISEASE	2015	203	3	0	South African study
215	Mackenbach, JP; Kulhanova, I; Bopp, M; Deboosere, P; Eikemo, TA; Hoffmann, R; Kulik, MC; Leinsalu, M; Martikainen, P; Menvielle, G; Regidor, E; Wojtyniak, B; Ostergren, O; Lundberg, O	Variations in the relation between education and cause-specific mortality in 19 European populations: A test of the fundamental causes theory of social inequalities in health	SOCIAL SCIENCE & MEDICINE	2015	127		0	Duplicate of 90
216	Campbell, G; Nielsen, S; Bruno, R; Liptzeris, N; Cohen, M; Hall, W; Larance, B; Mattick, RP; Degenhardt, L	The Pain and Opioids IN Treatment study: characteristics of a cohort using opioids to manage chronic non-cancer pain	PAIN	2015	156	2	0	Australian study
217	Johnson, A; Kirk, R; Rosenblum, KL; Muzik, M	Enhancing Breastfeeding Rates Among African American Women: A Systematic Review of Current Psychosocial Interventions	BREASTFEEDING MEDICINE	2015	10	1	0	US-based study
218	Namageyo-Funa, A; Muilenburg, J; Wilson, M	The Role of Religion and Spirituality in Coping with Type 2 Diabetes: A Qualitative Study among Black Men	JOURNAL OF RELIGION & HEALTH	2015	54	1	0	US-based study
219	Rose, VK; Harris, MF	Experiences of self-management support from GPs among Australian ethnically diverse diabetes patients: A qualitative study	PSYCHOLOGY HEALTH & MEDICINE	2015	20	1	0	Australian study
220	Gonzalez, MJA; Meline, MC; Campano, CC; Castro, BV	Application of Logistic Regression on the Analysis of Chilean Children's Fears	UNIVERSITAS PSYCHOLOGICA	2015	14	1	0	Chilean study
221	Vesel, L; Waller, K; Dowden, J; Fotso, JC	Psychosocial support and resilience building among health workers in Sierra Leone: interrelations between coping skills, stress levels, and interpersonal relationships	BMC HEALTH SERVICES RESEARCH	2015	15		0	Sierra Leone study
222	Siriwardhana, C; Abas, M; Siribaddana, S; Sumathipala, A; Stewart, R	Dynamics of resilience in forced migration: a 1-year follow-up study of longitudinal associations with mental health in a conflict-affected, ethnic Muslim population	BMJ OPEN	2015	5	2	0	Sri Lankan study
223	Lunt, N; Exworthy, M; Hanefeld, J; Smith, RD	International patients within the NHS: A case of public sector entrepreneurialism	SOCIAL SCIENCE & MEDICINE	2015	124		0	Duplicate of 88
224	Ungar, M	Practitioner Review: Diagnosing childhood resilience - a systemic approach to the diagnosis of adaptation in adverse social and physical ecologies	JOURNAL OF CHILD PSYCHOLOGY AND PSYCHIATRY	2015	56	1	0	Not empirical paper
225	Heijmans, M; Waverijn, G; Rademakers, J; van der Vaart, R; Rijken, M	Functional, communicative and critical health literacy of chronic disease patients and their importance for self-management	PATIENT EDUCATION AND COUNSELING	2015	98	1	0	"Dutch study
Duplicate of 82"
226	Nunes, JA; Ferreira, P; Queiros, F	Taking part: Engaging knowledge on health in clinical encounters	SOCIAL SCIENCE & MEDICINE	2014	123		0	Portuguese study
227	Helms, SW; Choukas-Bradley, S; Widman, L; Giletta, M; Cohen, GL; Prinstein, MJ	Adolescents Misperceive and Are Influenced by High-Status Peers' Health Risk, Deviant, and Adaptive Behavior	DEVELOPMENTAL PSYCHOLOGY	2014	50	12	0	"US-based study
Full-text obtained"
228	Tucker, CM; Wippold, GM; Smith, TM; Desmond, FF; Arthur, TM; Butler, AM; Pauly, RR; Surrency, SL	Association of Health Self-Empowerment with Health-Promoting Behaviors among Chronically Ill African American and non-Hispanic White Adolescents	JOURNAL OF HEALTH CARE FOR THE POOR AND UNDERSERVED	2014	25	4	0	US-based study
229	Orton, E; Kendrick, D; West, J; Tata, LJ	Persistence of Health Inequalities in Childhood Injury in the UK; A Population-Based Cohort Study of Children under 5	PLOS ONE	2014	9	10	1	
230	Fritz, H; Lysack, C	I see it now: Using photo elicitation to understand chronic illness self-management	CANADIAN JOURNAL OF OCCUPATIONAL THERAPY-REVUE CANADIENNE D ERGOTHERAPIE	2014	81	4	0	"Canadian study
Duplicate of 80"
231	Peres, H; Glazer, Y; Landau, D; Marks, K; Abokaf, H; Belmaker, I; Cohen, A; Shoham-Vardi, I	Understanding Utilization of Outpatient Clinics for Children with Special Health Care Needs in Southern Israel	MATERNAL AND CHILD HEALTH JOURNAL	2014	18	8	0	Israeli study
232	Agenor, PR; Canuto, O; da Silva, LP	On gender and growth: The role of intergenerational health externalities and women's occupational constraints	STRUCTURAL CHANGE AND ECONOMIC DYNAMICS	2014	30		0	Simulation: based on hypothetical data Full-text obtained
233	Roh, YH; Chang, JY; Kim, MU; Nam, SK	The Effects of Income and Skill Utilization on the Underemployed's Self-Esteem, Mental Health, and Life Satisfaction	JOURNAL OF EMPLOYMENT COUNSELING	2014	51	3	0	"South Korean study
Duplicate of 79"
234	Chen, JY; Clark, MJ; Chang, YY; Liu, YY; Chang, CY	Factors Affecting Perceptions of Family Function in Caregivers of Children With Attention Deficit Hyperactivity Disorders	JOURNAL OF NURSING RESEARCH	2014	22	3	0	Taiwanese study
235	Wu, PC; Liu, SY; Pan, SC	Does Misery Index Matter for the Persistence of Health Spending? Evidence from OECD Countries	SOCIAL INDICATORS RESEARCH	2014	118	2	0	Simulation based model
236	Dray, J; Bowman, J; Freund, M; Campbell, E; Wolfenden, L; Hodder, RK; Wiggers, J	Improving adolescent mental health and resilience through a resilience-based intervention in schools: study protocol for a randomised controlled trial	TRIALS	2014	15		0	Australian study
237	Betancourt, TS; Ng, LC; Kirk, CM; Munyanah, M; Mushashi, C; Ingabire, C; Teta, S; Beardslee, WR; Brennan, RT; Zahn, I; Stulac, S; Cyamatare, FR; Sezibera, V	Family-based prevention of mental health problems in children affected by HIV and AIDS: an open trial	AIDS	2014	28		0	"Rwandan/US study
Specific population: affected by AIDS"
